,AUC,AP
CN,0.6493783366214209,0.648977154350159
AA,0.6493724565516298,0.6493229400811527
RA,0.6493384743301099,0.649039173090703
Katz,0.8282071937028372,0.8500976496371475
GCN,0.9463561487507983,0.9309110319909613
GraphSAGE,0.8561523653866205,0.8788275933153975
GAT,0.9259330372561222,0.9128560343878472
TriHetGCN,0.8635459804148367,0.8862816565422991
