Model,Our AUC,Paper AUC,AUC Difference,Our AP,Paper AP,AP Difference
CN,64.93783366214208,64.39,0.5478336621420823,64.8977154350159,64.36,0.5377154350158975
AA,64.93724565516298,64.44,0.4972456551629847,64.93229400811526,64.45,0.4822940081152609
RA,64.933847433011,64.42,0.5138474330109943,64.90391730907031,64.43,0.47391730907030194
Katz,82.82071937028373,81.91,0.9107193702837293,85.00976496371476,82.71,2.2997649637147646
GCN,95.31879498380664,97.18,-1.8612050161933666,93.52531730940132,97.18,-3.6546826905986904
GraphSAGE,87.61694466075409,94.32,-6.703055339245907,89.09302863341199,95.29,-6.196971366588016
GAT,92.64096792770661,95.64,-2.9990320722933888,91.46721052594472,95.07,-3.602789474055271
TriHetGCN,88.89583183998228,97.21,-8.314168160017715,91.18343576054649,97.24,-6.0565642394535075
