,AUC,AP
CN,64.94%,64.90%
AA,64.94%,64.93%
RA,64.93%,64.90%
Katz,82.82%,85.01%
GCN,94.64%,93.09%
GraphSAGE,85.62%,87.88%
GAT,92.59%,91.29%
TriHetGCN,86.35%,88.63%
