,AUC,AP
CN,0.6831034899166767,0.6818112921561197
AA,0.6838811737712837,0.6863065085282223
RA,0.6838594372660307,0.6862374995756922
Katz,0.7819321338002657,0.7803221644123742
GCN,0.9000603791812585,0.909948813265491
GraphSAGE,0.7880256007728537,0.8293083012843974
GAT,0.8941408042506944,0.8837820714276328
TriHetGCN,0.8648351648351648,0.8684582896503441
