Model,Our AUC,Paper AUC,AUC Difference,Our AP,Paper AP,AP Difference
CN,68.31034899166767,67.04,1.2703489916676602,68.18112921561197,66.96,1.221129215611981
AA,68.38811737712837,66.86,1.5281173771283676,68.63065085282223,66.88,1.7506508528222327
RA,68.38594372660307,67.13,1.2559437266030784,68.62374995756923,67.15,1.4737499575692254
Katz,78.19321338002658,77.84,0.353213380026574,78.03221644123742,78.08,-0.047783558762574785
GCN,89.61429779012195,96.55,-6.935702209878045,90.01998403344577,97.02,-7.00001596655423
GraphSAGE,81.09793503200096,95.17,-14.07206496799904,84.5466357272378,96.13,-11.583364272762196
GAT,86.29078613693999,96.39,-10.099213863060015,86.13821093138563,96.59,-10.451789068614374
TriHetGCN,88.17679024272431,97.15,-8.973209757275697,89.6885104162881,97.53,-7.841489583711905
