,AUC,AP
CN,0.6974532727947027,0.6952226811028017
AA,0.6988665209610807,0.7022173261112339
RA,0.6988665209610807,0.7022173261112337
Katz,0.835371891304113,0.8504694222969404
GCN,0.9206060584238592,0.9173975521276235
GraphSAGE,0.838720479316168,0.8498608091758103
GAT,0.8811503299979476,0.8799879511697732
TriHetGCN,0.8844953173777315,0.8918963786879347
