,AUC,AP
CN,69.75%,69.52%
AA,69.89%,70.22%
RA,69.89%,70.22%
Katz,83.54%,85.05%
GCN,92.06%,91.74%
GraphSAGE,83.87%,84.99%
GAT,88.12%,88.00%
TriHetGCN,88.45%,89.19%
