Model,Our AUC,Paper AUC,AUC Difference,Our AP,Paper AP,AP Difference
CN,69.74532727947027,71.94,-2.1946727205297236,69.52226811028017,71.72,-2.197731889719833
AA,69.88665209610807,71.44,-1.5533479038919324,70.22173261112339,71.53,-1.3082673888766152
RA,69.88665209610807,71.9,-2.0133479038919404,70.22173261112337,72.0,-1.7782673888766283
Katz,83.5371891304113,83.76,-0.22281086958869878,85.04694222969404,84.32,0.7269422296940462
GCN,92.06060584238593,92.73,-0.6693941576140787,91.73975521276235,93.51,-1.770244787237658
GraphSAGE,83.8720479316168,92.21,-8.337952068383188,84.98608091758103,93.09,-8.103919082418969
GAT,88.11503299979476,92.14,-4.024967000205237,87.99879511697732,93.13,-5.131204883022676
TriHetGCN,88.44953173777314,93.69,-5.240468262226855,89.18963786879347,94.4,-5.210362131206537
